long,lat,site
9.6990341,51.4617229,Goe1392
9.6990341,51.4617229,Goe1392
10.1550478,51.4570895,Goe1425
10.1550478,51.4570895,Goe1425
10.1930846,51.6926504,Goe235
10.1930846,51.6926504,Goe235
10.2842807,51.6775506,Goe288
10.2842807,51.6775506,Goe288
10.219492,51.776701,Goe47
10.219492,51.776701,Goe47
9.8639256,51.6071467,Goe595
9.8639256,51.6071467,Goe595
10.470047,51.937913,Gos1
10.470047,51.937913,Gos1
10.255802,51.977413,Gos2
10.255802,51.977413,Gos2
10.000652,51.825189,Nor1
10.000652,51.825189,Nor1
9.808416,51.729802,Nor1070
9.808416,51.729802,Nor1070
10.0952517,51.7987985,Nor1145
10.0952517,51.7987985,Nor1145
9.965145,51.685006,Nor264
9.965145,51.685006,Nor264
9.7443048,51.835786,Nor508
9.7443048,51.835786,Nor508
9.8869305,51.890685,Nor918
9.8869305,51.890685,Nor918
9.8079358,51.3209764,WM1249
9.8079358,51.3209764,WM1249
10.042364,51.162446,WM630
10.042364,51.162446,WM630
